job,Dataset Path,Mean Population Density (agents/m^2),StdDev Population Density (agents/m^2),Min Population Density (agents/m^2),Max Population Density (agents/m^2),Mean Population Density (agents/m^2)_Scatter,Arrival Rate,Collision Rate,Mean Num Agents per Timestep,StdDev Num Agents per Timestep,Mean Agent velocity (m/s),StdDev Agent velocity (m/s),Min Agent velocity (m/s),Max Agent velocity (m/s),Mean Agent Accel (m/s^2),StdDev Agent Accel (m/s^2),Min Agent Accel (m/s^2),Max Agent Accel (m/s^2),Mean Agent Jerk (m/s^3),StdDev Agent Jerk (m/s^3),Min Agent Jerk (m/s^3),Max Agent Jerk (m/s^3),Mean Agent Energy (m^2/s^2),StdDev Agent Energy (m^2/s^2),Min Agent Energy (m^2/s^2),Max Agent Energy (m^2/s^2),Mean Path Efficiency,StdDev Path Efficiency,Mean Time Efficiency,StdDev Time Efficiency,Mean Closest Proximity (m),StdDev Closest Proximity (m),Mean Path Irregularity (degrees/m),StdDev Path Irregularity (degrees/m),Mean Congestion Score,Mean X (m),Mean Y (m),StdDev X (m),StdDev Y (m)
PD=0.1,-1,0.301094386896121,0.007658639199699,0.25,0.416666666666667,{0: 0},1,0,10,0,0.95396243620596,0.009701924745439,0.691893334857221,1.00254777482987,0.007839022921727,0.001551224980564,0,0.099999999999998,0.003505592583594,0.001666923011254,1.88173394004264E-17,0.103077640640436,0.708151532039805,0.046438600159525,0.043615384615385,1.00478632478633,0.989552967525413,0.004646461630457,0.953962421784596,0.00970192396718,0.328076323656621,0.066738690222034,913.31059373459,110.179470916796,0,9.8035,9.7045,2.19258426291899,2.1707115768798
PD=0.15,-1,0.319171520283773,0.006990261863954,0.25,0.535714285714286,{0: 0},1,0,15,0,0.93901478877287,0.013596241823938,0.555698901862555,1.00254777482987,0.007556995267341,0.001509666018744,6.53072367426563E-17,0.107703296142688,0.003805717801808,0.002031358099364,0,0.149999999999992,0.623818456329004,0.042623241215002,0.036145833333333,1.00438095238095,0.985470541082248,0.006116867084676,0.939014774708906,0.013596240973938,0.267851340181444,0.04710482650444,910.152269456777,113.439924407223,0,9.8295,9.816,2.19852012726743,2.19565696318892
PD=0.2,-1,0.334056984914702,0.007265562316705,0.263157894736842,0.5,{0: 0},0.995,0.005,20,0,0.923145533148409,0.017142536995731,0.540774208987638,1.00254777482987,0.007587918042068,0.001608724589504,0,0.107703296142688,0.004140145129464,0.001936593796723,5.84327907697451E-18,0.149999999999992,0.523416672020208,0.036744399315671,0.035578231292517,1.00411214953271,0.981412681951627,0.006847213692094,0.92314552017579,0.017142536399052,0.236984668893752,0.031397744479831,922.965544744564,115.480543599395,0,9.948,9.8885,2.22515830897489,2.21213827551534
PD=0.25,-1,0.361681986774985,0.008349010123825,0.271739130434783,0.568181818181818,{0: 0},1,0,25,0,0.911671623798376,0.016496526607127,0.528840713258728,1.00254777482987,0.007829688131496,0.001973857095245,0,0.128062484748654,0.00422354824055,0.001552529358063,0,0.124999999999997,0.452544366584317,0.031861915751256,0.034714285714286,1.0035593220339,0.979166025591917,0.006581874240685,0.91167161164998,0.016496526171299,0.208248119299114,0.018585100767431,934.399481012992,116.135738163255,0,9.9905,9.989,2.23469209288439,2.23464202949824
PD=0.3,-1,0.380458045771681,0.009073638276377,0.277777777777778,0.625,{0: 0},0.9933,0.0067,30,0,0.892818115872918,0.020622114411232,0.362635950032645,1.00254777482987,0.007919387796316,0.001900689205369,0,0.128062484748654,0.004442716580281,0.00162071575238,0,0.124999999999997,0.379126402681616,0.027478461942902,0.032927927927928,0.987957746478874,0.972341176099854,0.008728338203372,0.892818104172238,0.020622113903736,0.193735256458418,0.014727964511243,969.310500709784,117.29308858148,0,10.0685,10.0915,2.25201870551734,2.25764628540434
PD=0.35,-1,0.411582726573151,0.008875929011415,0.3125,0.673076923076923,{0: 0},0.9857,0.0143,35,0,0.88339801400442,0.019783124223659,0.36931409218461,1.00183831030761,0.007952738190924,0.001826730626081,0,0.128062484748654,0.004820793306442,0.001636218102879,0,0.124999999999997,0.361022737751382,0.026099675879623,0.018134328358209,0.992620689655173,0.968918107456695,0.009097570198351,0.883398002350971,0.019783123678969,0.186534760062388,0.015804642087081,979.542198342553,117.777603064361,0.142857142857143,10.029,10.087,2.24305862607289,2.25628555373649
PD=0.4,-1,0.438237668198509,0.009281690746066,0.344827586206897,0.769230769230769,{0: 0},0.9813,0.0188,40,0,0.872674435444235,0.02117020759712,0.358205759309338,1.00023798820973,0.007872782606501,0.001664464686861,0,0.111665284679121,0.004964822431399,0.00142718768275,0,0.071586686888081,0.335759865912304,0.023760806730394,0.008062678062678,0.953082191780822,0.965248029440092,0.009012988370744,0.872675018672982,0.021169917002549,0.175651199441378,0.013692586190348,997.499754554802,118.959991526361,0.25,10.115,10.142,2.26230501922265,2.26883846934946
PD=0.45,-1,0.463510820665532,0.009418687094654,0.362903225806452,0.75,{0: 0},0.9756,0.0244,45,0,0.854928052751878,0.022744822669458,0.430196983304678,0.9991563338848,0.00787666035645,0.00181077194321,0,0.121655250605965,0.005052030473084,0.001469943077857,0,0.103077640640443,0.283904153787137,0.020861077776884,0.006713483146067,0.813072289156627,0.957735063957049,0.010868437062896,0.854928041708414,0.022744822146444,0.163185842890829,0.013717164612885,1023.20306524449,121.074750208402,0.111111111111111,10.194,10.2115,2.27987729932994,2.28423614147049
PD=0.5,-1,0.489806523421165,0.009499186991528,0.390625,0.735294117647059,{0: 0},0.957,0.043,50,0,0.841836790625247,0.026289225182321,0,1.00055184773204,0.00784871974492,0.001786018222786,0,0.126491106406736,0.005040550163974,0.001529669710417,0,0.127475487839819,0.258635221873355,0.018474574687009,0,0.679860465116279,0.950966787682908,0.011881081897845,0.841836779709199,0.026289224583521,0.156088659075272,0.013718292592922,1020.10171359694,123.501585522275,0.8,10.301,10.186,2.30373088706125,2.27829190403688
