job,Dataset Path,Mean Population Density (agents/m^2),StdDev Population Density (agents/m^2),Min Population Density (agents/m^2),Max Population Density (agents/m^2),Mean Population Density (agents/m^2)_Scatter,Arrival Rate,Collision Rate,Mean Num Agents per Timestep,StdDev Num Agents per Timestep,Mean Agent velocity (m/s),StdDev Agent velocity (m/s),Min Agent velocity (m/s),Max Agent velocity (m/s),Mean Agent Accel (m/s^2),StdDev Agent Accel (m/s^2),Min Agent Accel (m/s^2),Max Agent Accel (m/s^2),Mean Agent Jerk (m/s^3),StdDev Agent Jerk (m/s^3),Min Agent Jerk (m/s^3),Max Agent Jerk (m/s^3),Mean Agent Energy (m^2/s^2),StdDev Agent Energy (m^2/s^2),Min Agent Energy (m^2/s^2),Max Agent Energy (m^2/s^2),Mean Path Efficiency,StdDev Path Efficiency,Mean Time Efficiency,StdDev Time Efficiency,Mean Closest Proximity (m),StdDev Closest Proximity (m),Mean Path Irregularity (degrees/m),StdDev Path Irregularity (degrees/m),Mean Congestion Score,Mean X (m),Mean Y (m),StdDev X (m),StdDev Y (m)
PD=0.1,-1,0.301972085273327,0.008289722242605,0.25,0.416666666666667,{0: 0},0.99,0.01,10,0,0.970314902667329,0.012247234699569,0.552828938018573,1.00173460668094,0.005412730311649,0.001911024226347,0,0.094339811320567,0.003416704537742,0.001085020557196,0,0.040792156108742,0.707924016814176,0.043898162210029,0.051452991452991,1.00288288288288,0.999326998649624,0.000652908405635,0.970314888838265,0.012247234919566,0.186589324904257,0.073782909625811,899.231285613722,111.473441830748,0,9.663,9.6695,2.16106015649727,2.16280726140819
PD=0.15,-1,0.329942040864956,0.008951683303392,0.25,0.535714285714286,{0: 0},0.9733,0.0267,15,0,0.959198506739657,0.013835363470984,0.408707689319203,1.00106452215369,0.006943823537432,0.001894043251681,0,0.105409255338946,0.003888284038826,0.001413840924915,0,0.082462112512352,0.664203578197336,0.042698649758469,0.052131147540983,0.998272727272726,0.999123842729022,0.001172758045813,0.959198492834578,0.013835363322261,0.141712676995805,0.063953114091618,899.436318400814,117.455056684029,0.333333333333333,9.757,9.761,2.18206152525542,2.18283874805264
PD=0.2,-1,0.352475657206842,0.010171533071221,0.263157894736842,0.625,{0: 0},0.99,0.01,20,0,0.934901550228039,0.019178877980499,0.401270343580156,0.99985733106758,0.007837366364015,0.001973565537724,7.40148683083438E-18,0.105409255338946,0.003803229207656,0.001377511327584,0,0.082462112512352,0.618638324868826,0.038998448323498,0.045106382978723,0.99781512605042,0.996110592680086,0.004867272033227,0.934901537580581,0.019178877692406,0.075807572985645,0.036543823737299,929.022615843432,122.555097160338,0,9.787,9.8005,2.18870132727149,2.19206723208938
PD=0.25,-1,0.376827030687287,0.011330611652012,0.271739130434783,0.568181818181818,{0: 0},0.98,0.016,25,0,0.908605191940512,0.024678978098532,0.325130553075545,0.999844374490622,0.008415122138594,0.002000349983268,2.29864273448822E-17,0.115175110689979,0.003215463464723,0.001080820595296,0,0.084983658559884,0.545050707200951,0.033869272499646,0.018283582089552,0.940526315789474,0.993426723870032,0.007212101050212,0.908607746565285,0.02467540617108,0.049718289465573,0.026420569916369,953.29555620039,124.56318235633,1,9.8715,9.8645,2.20785738896334,2.20590859964777
PD=0.3,-1,0.40466291265209,0.012252272191399,0.288461538461538,0.681818181818182,{0: 0},0.9617,0.0383,30,0,0.882176196521357,0.027814840361006,0.20666491696148,0.999459329262908,0.008694290835869,0.001919120395588,4.97561608535026E-17,0.1087967586552,0.002930547872787,0.000825156424255,0,0.052704627669475,0.499252017223448,0.032709402012953,0.013700564971752,0.890827067669172,0.993520807560027,0.007068840032945,0.882179379731392,0.027811680536517,0.034036413190717,0.014811366768944,1009.84275592953,135.174587485939,1.66666666666667,9.8755,9.8755,2.20863028821032,2.20835951556806
PD=0.35,-1,0.419380276825204,0.010641075378268,0.3125,0.673076923076923,{0: 0},0.9471,0.0529,35,0,0.856190033527886,0.031681978019705,0.266949821186023,0.999023654291689,0.008941393962613,0.001989372008131,3.49676543189026E-17,0.12205719636168,0.002711485300548,0.000773023659068,0,0.050000000000002,0.357248967977371,0.024936351976101,0.013554502369668,0.8875,0.990413259376143,0.007794913480797,0.856192392329672,0.031679536621901,0.029640660079182,0.013054769927461,1043.08695172115,135.181822325448,2.57142857142857,9.9455,9.906,2.22448392891475,2.21523012348605
PD=0.4,-1,0.450044017956279,0.011060641476526,0.333333333333333,0.769230769230769,{0: 0},0.93,0.07,40,0,0.832290529014462,0.035290248966292,0.257944007705376,0.999660324541696,0.008677436995202,0.001982420070884,5.64212307556198E-17,0.141421356237308,0.002608031468035,0.000817251248808,0,0.060092521257733,0.333278516389104,0.02349654590993,0.019194630872483,0.760805369127516,0.989140442345567,0.008455397863156,0.832291120835132,0.035289229289618,0.023809307540379,0.008832583359977,1087.56612440134,142.735952548715,4,10.0335,9.947,2.24402066612587,2.22458411843652
PD=0.45,-1,0.483341473166838,0.011512450923996,0.362903225806452,0.75,{0: 0},0.92,0.08,45,0,0.796084347343172,0.038583202297324,0.121629111847991,0.999023654291689,0.008622613470029,0.002006412562565,4.21603680237401E-17,0.131707777961328,0.002304615341239,0.000747355934545,0,0.060092521257732,0.298053377708678,0.020477307488245,0.002359550561798,0.673739495798319,0.982770009561932,0.011445079754285,0.796095662635581,0.038576810916944,0.022946880924604,0.008462664885484,1156.44584042601,159.596107468555,5.55555555555556,10.078,10.1145,2.25452123520716,2.26241292650126
PD=0.5,-1,0.506041646717605,0.011923578613671,0.378787878787879,0.892857142857143,{0: 0},0.934,0.066,50,0,0.77242453515771,0.041365937392236,0.028821536068677,0.999023654291689,0.008466264408177,0.001985692193116,0,0.134771159029379,0.002128613999689,0.000663096585446,0,0.052704627669475,0.266323526177447,0.020091893184707,3.20512820512821E-05,0.616703910614525,0.977303869821345,0.014093882574427,0.772436749573996,0.04136046084877,0.018604395304917,0.004311989041997,1193.14981441651,178.388335873844,8.4,10.1485,10.293,2.27010522883852,2.30300933563023
